Attrition,Gender,Missing_Income,Income_Category,Missing_Education,Education_Level,Card_Category,Marital_Divorced,Marital_Married,Marital_Single,Marital_Unknown,Customer_Age,Credit_Limit,Months_on_book,Avg_Utilization_Ratio,Avg_Open_To_Buy,Total_Trans_Amt,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
0,1,0,4,0,3,1,0,0,1,0,52,4745.0,40,0.259,3518.0,1140,1,5,1,1,1227,0.624,40,0.6
0,0,0,1,1,4,1,0,1,0,0,52,2622.0,41,0.591,1073.0,1878,3,6,3,2,1549,1.321,30,1.143
1,0,0,1,0,4,1,0,1,0,0,54,1438.3,40,0.562,630.3,705,1,2,3,1,808,0.997,19,0.9
0,0,0,1,0,2,1,0,1,0,0,66,3171.0,54,0.687,992.0,1946,0,3,4,2,2179,1.224,38,1.923
0,1,0,5,1,4,1,0,1,0,0,49,19763.0,36,0.127,17246.0,1414,2,4,2,0,2517,0.664,35,0.25
1,1,0,5,0,4,1,0,1,0,0,56,15769.0,36,0.0,15769.0,602,2,1,3,3,0,1.041,15,0.364
0,0,0,1,0,4,1,0,0,0,1,49,3298.0,36,0.667,1098.0,1052,4,6,4,2,2200,0.6779999999999999,32,0.6
0,0,0,1,0,4,1,0,0,1,0,49,2802.0,36,0.843,439.0,1295,3,2,2,0,2363,0.75,40,0.6
0,1,0,2,0,1,1,0,1,0,0,56,4458.0,50,0.42200000000000004,2578.0,1424,2,4,2,3,1880,1.107,29,1.4169999999999998
0,0,1,1,0,4,1,0,1,0,0,44,6273.0,35,0.156,5295.0,1359,5,4,1,2,978,2.275,25,1.083
0,1,0,3,0,2,1,0,0,1,0,42,3336.0,34,0.525,1583.0,1168,2,4,4,3,1753,0.69,27,1.25
0,1,0,4,1,4,1,0,1,0,0,55,3436.0,47,0.5870000000000001,1420.0,1097,3,4,2,3,2016,0.9009999999999999,33,0.833
1,1,0,3,0,4,4,0,1,0,0,48,34516.0,35,0.0,34516.0,691,2,2,4,4,0,0.763,15,0.5
0,1,0,3,0,2,1,1,0,0,0,39,5926.0,33,0.21100000000000002,4675.0,1316,1,5,3,3,1251,0.9440000000000001,28,1.1540000000000001
0,1,0,5,0,5,1,0,0,1,0,44,23957.0,32,0.08800000000000001,21855.0,1276,4,2,4,2,2102,0.997,26,0.733
0,1,0,5,0,2,1,0,0,1,0,53,14734.0,44,0.111,13100.0,1289,2,4,2,2,1634,0.9890000000000001,23,0.917
0,1,0,4,0,1,4,0,0,1,0,51,34516.0,38,0.044000000000000004,33001.0,1293,4,4,1,4,1515,0.5920000000000001,32,0.6
0,1,0,3,0,3,1,0,1,0,0,57,6584.0,52,0.276,4767.0,1353,2,5,3,3,1817,0.62,35,0.667
0,0,0,1,0,1,1,0,0,1,0,44,2084.0,20,0.7040000000000001,616.0,1132,2,6,3,3,1468,1.004,28,0.556
0,1,0,3,0,4,1,0,1,0,0,49,1687.0,32,0.6559999999999999,580.0,1670,2,2,2,2,1107,1.715,17,2.4
0,1,0,4,0,6,1,0,1,0,0,50,25300.0,38,0.053,23970.0,837,2,6,2,2,1330,1.072,15,2.0
0,1,0,5,0,4,1,0,0,1,0,51,34516.0,42,0.051,32753.0,1550,4,3,2,3,1763,1.266,41,1.05
0,0,0,1,0,4,1,0,1,0,0,55,2216.0,42,0.467,1182.0,1540,2,5,3,3,1034,0.758,36,0.28600000000000003
0,1,0,3,0,4,1,0,0,0,1,54,2910.0,43,0.698,880.0,1256,1,4,2,3,2030,0.769,21,0.4
0,1,0,4,0,1,1,0,1,0,0,42,22913.0,37,0.067,21385.0,1394,5,6,2,2,1528,0.414,35,0.522
0,1,0,3,0,3,1,0,0,1,0,44,24312.0,35,0.079,22380.0,1341,1,3,3,3,1932,1.3119999999999998,24,1.182
0,1,0,4,0,4,1,0,0,1,0,53,5272.0,36,0.287,3757.0,1289,2,5,3,2,1515,0.857,33,0.435
0,0,0,1,0,4,1,0,0,1,0,44,7000.0,36,0.36,4483.0,1112,4,6,4,2,2517,0.475,23,1.875
0,0,0,1,0,1,1,0,0,1,0,37,7038.0,29,0.256,5237.0,2339,3,4,4,2,1801,0.7509999999999999,57,0.966
0,1,0,3,0,4,1,1,0,0,0,49,2536.0,30,0.7190000000000001,713.0,1468,3,6,1,2,1823,0.703,23,0.353
0,1,0,4,0,4,1,0,1,0,0,47,28904.0,38,0.066,27005.0,1334,2,6,3,2,1899,0.85,35,0.4
0,1,0,3,0,4,1,0,1,0,0,47,8567.0,37,0.198,6872.0,1457,3,4,4,0,1695,1.242,41,1.412
0,1,0,5,1,4,1,0,0,0,1,44,34516.0,36,0.044000000000000004,32983.0,1603,1,6,2,2,1533,0.924,29,0.526
1,0,0,2,1,4,1,0,1,0,0,55,2158.0,45,0.0,2158.0,615,4,2,4,3,0,0.585,12,0.7140000000000001
0,0,1,1,0,4,1,0,1,0,0,59,10133.0,52,0.14,8716.0,1068,1,2,3,3,1417,0.38299999999999995,20,0.818
0,1,0,4,0,4,1,1,0,0,0,53,34516.0,35,0.035,33297.0,1590,1,5,4,2,1219,1.129,27,2.0
0,1,0,3,0,4,1,0,1,0,0,52,3085.0,47,0.619,1175.0,1531,2,5,3,0,1910,0.9209999999999999,35,0.667
0,1,0,5,0,2,1,0,0,1,0,53,19040.0,35,0.10800000000000001,16984.0,1212,2,4,2,1,2056,0.607,31,0.722
0,0,0,1,0,1,1,0,0,1,0,43,4026.0,35,0.0,4026.0,1237,3,5,2,3,0,0.483,32,0.6
0,1,0,3,0,2,1,0,0,1,0,44,12756.0,31,0.066,11919.0,1413,3,4,3,1,837,1.932,14,1.8
0,1,0,5,1,4,1,0,1,0,0,57,5266.0,45,0.0,5266.0,1516,2,5,3,3,0,1.702,29,1.636
0,0,0,1,0,2,1,0,0,1,0,51,9930.0,36,0.0,9930.0,1276,2,3,2,2,0,0.731,21,1.3330000000000002
0,1,0,4,0,2,1,0,0,1,0,49,31302.0,38,0.062,29349.0,1564,4,4,3,0,1953,0.875,35,2.182
0,1,0,2,0,4,1,0,0,1,0,45,6576.0,36,0.0,6576.0,1465,1,4,4,3,0,0.579,34,0.619
0,1,0,4,0,4,1,0,0,1,0,53,2664.0,42,0.765,627.0,1286,0,5,4,1,2037,0.85,29,0.9329999999999999
0,0,1,1,1,4,1,0,1,0,0,45,2535.0,28,0.963,95.0,1312,3,5,1,2,2440,1.705,20,1.222
0,1,0,1,0,4,1,0,1,0,0,64,1709.0,52,0.524,814.0,1673,1,6,4,3,895,1.656,32,0.882
0,1,0,2,0,4,1,0,1,0,0,45,3454.0,35,0.34700000000000003,2254.0,1313,3,5,4,2,1200,0.597,30,0.304
0,1,0,2,0,6,1,0,1,0,0,53,3789.0,35,0.45,2083.0,1609,3,5,3,2,1706,1.047,42,0.68
0,1,0,5,0,3,1,0,1,0,0,56,9689.0,50,0.23199999999999998,7439.0,1158,3,3,2,0,2250,0.5760000000000001,19,0.727
1,1,0,4,1,4,1,0,1,0,0,47,5449.0,37,0.299,3821.0,836,2,2,3,3,1628,0.696,18,0.385
0,0,1,1,0,3,1,0,0,1,0,49,23032.0,43,0.085,21072.0,1289,3,4,4,0,1960,0.619,22,1.0
0,0,1,1,1,4,4,0,1,0,0,41,34516.0,34,0.059000000000000004,32463.0,1487,3,5,3,3,2053,1.034,26,0.733
0,1,0,5,0,4,1,0,1,0,0,53,2940.0,34,0.43,1676.0,1259,3,6,2,2,1264,0.562,33,0.5
0,0,0,1,0,4,1,0,0,1,0,44,3031.0,32,0.62,1152.0,1298,2,3,3,3,1879,0.7879999999999999,15,1.5
0,1,0,3,0,2,1,0,0,0,1,44,1862.0,25,0.0,1862.0,1226,3,3,3,0,0,0.883,34,0.789
0,0,0,1,0,5,1,0,1,0,0,43,8358.0,33,0.111,7432.0,1566,4,2,3,3,926,0.762,37,0.542
0,1,0,5,0,5,1,0,0,1,0,53,34516.0,36,0.027000000000000003,33585.0,1022,2,6,1,2,931,0.828,21,1.1
0,1,0,3,0,1,1,0,1,0,0,44,14450.0,36,0.16899999999999998,12010.0,1235,1,5,2,3,2440,1.2830000000000001,30,0.667
0,0,0,1,1,4,1,0,1,0,0,62,1438.3,56,0.0,1438.3,1951,1,6,0,0,0,0.813,44,1.095
0,1,0,5,1,4,1,1,0,0,0,54,33791.0,36,0.057999999999999996,31831.0,1047,4,6,3,2,1960,0.618,31,0.8240000000000001
0,1,0,3,0,4,1,0,1,0,0,57,8466.0,39,0.223,6580.0,1342,4,4,3,0,1886,0.56,32,0.391
0,1,0,3,1,4,1,0,1,0,0,42,15088.0,36,0.057,14223.0,1107,3,5,3,3,865,0.9390000000000001,21,1.625
0,1,0,3,0,2,1,1,0,0,0,42,3263.0,36,0.513,1589.0,1251,4,5,1,2,1674,0.588,35,0.34600000000000003
0,0,0,1,0,1,1,0,1,0,0,54,1494.0,36,0.473,788.0,1305,0,2,2,2,706,1.6740000000000002,24,3.0
0,1,0,4,0,4,1,0,0,1,0,48,13551.0,35,0.095,12257.0,1388,3,6,1,0,1294,0.7909999999999999,37,1.056
0,1,0,4,0,4,1,0,0,1,0,49,18886.0,36,0.047,17991.0,1235,1,6,2,2,895,1.8259999999999998,18,1.571
0,1,0,4,0,2,1,0,0,0,1,52,11976.0,48,0.106,10703.0,2089,3,3,2,0,1273,1.024,36,1.1179999999999999
0,1,0,4,0,2,1,0,0,1,0,50,9964.0,39,0.156,8405.0,1626,3,4,1,4,1559,1.8730000000000002,25,0.7859999999999999
0,1,0,3,0,6,1,0,1,0,0,49,24159.0,36,0.05,22963.0,1111,1,4,6,3,1196,0.7120000000000001,24,1.0
0,0,0,1,0,2,1,0,1,0,0,53,5362.0,44,0.355,3461.0,1553,2,3,2,3,1901,0.816,38,1.0
0,1,0,5,0,4,1,0,0,1,0,50,34516.0,36,0.03,33493.0,1064,2,3,2,2,1023,1.004,13,0.625
0,0,0,1,0,6,1,0,1,0,0,55,3174.0,36,0.615,1223.0,1243,1,4,1,0,1951,0.7659999999999999,29,0.611
0,1,0,4,0,2,1,0,1,0,0,53,12262.0,47,0.15,10426.0,1659,1,3,2,2,1836,1.584,38,1.5330000000000001
0,0,0,2,0,2,1,0,0,1,0,47,3788.0,41,0.40700000000000003,2248.0,1594,3,4,3,3,1540,0.5660000000000001,47,0.382
0,1,0,5,0,3,4,0,0,1,0,55,34516.0,42,0.044000000000000004,32989.0,1268,2,2,3,2,1527,0.526,42,0.355
0,1,0,3,0,4,1,0,0,1,0,47,2926.0,36,0.0,2926.0,1304,3,4,2,2,0,0.6759999999999999,24,0.846
0,1,0,5,0,4,1,0,0,1,0,58,32090.0,52,0.0,32090.0,1368,4,6,1,0,0,0.5670000000000001,30,0.364
1,1,0,4,0,4,1,0,1,0,0,53,11669.0,41,0.191,9442.0,720,2,3,3,2,2227,0.622,23,0.353
0,1,0,2,0,2,1,0,0,1,0,52,13532.0,45,0.096,12232.0,1521,2,3,1,2,1300,0.846,29,1.4169999999999998
0,0,0,1,0,1,4,0,0,0,1,50,11888.0,36,0.17600000000000002,9798.0,1137,1,4,2,2,2090,0.7,30,0.765
0,0,0,1,0,4,1,0,1,0,0,42,2393.0,36,0.83,408.0,978,1,5,1,2,1985,0.7879999999999999,16,0.778
0,1,0,2,1,4,1,0,1,0,0,43,6111.0,39,0.41200000000000003,3594.0,1221,4,5,1,2,2517,0.632,16,2.2
0,1,0,4,0,4,1,0,1,0,0,57,19270.0,46,0.086,17608.0,1565,4,3,2,3,1662,1.186,28,1.545
0,1,0,4,0,4,1,0,1,0,0,52,3710.0,43,0.6779999999999999,1193.0,1578,1,3,1,4,2517,1.541,34,0.7
0,1,0,1,0,6,1,0,0,1,0,47,3235.0,37,0.24600000000000002,2438.0,1493,2,2,1,3,797,0.541,32,1.0
0,0,0,2,0,4,1,0,0,1,0,44,11749.0,38,0.067,10961.0,1178,3,3,1,0,788,0.688,27,0.929
0,1,0,3,0,2,1,1,0,0,0,53,7753.0,36,0.271,5653.0,991,2,5,3,2,2100,0.8390000000000001,26,0.733
0,1,0,3,0,3,1,1,0,0,0,45,10408.0,40,0.114,9222.0,2560,4,5,1,0,1186,1.689,42,1.2109999999999999
0,0,1,1,0,3,1,0,1,0,0,63,3967.0,36,0.395,2399.0,1657,1,6,2,3,1568,1.236,29,1.2309999999999999
0,0,0,1,0,5,1,0,0,1,0,39,6205.0,27,0.406,3688.0,1204,2,4,2,2,2517,0.9390000000000001,19,0.727
1,0,0,1,0,2,1,0,1,0,0,48,8025.0,38,0.0,8025.0,673,5,1,3,3,0,0.654,18,0.8
0,1,0,5,1,4,1,0,0,1,0,51,9036.0,42,0.258,6709.0,1131,1,6,2,3,2327,0.649,18,0.636
0,1,0,4,0,4,1,0,1,0,0,54,14926.0,34,0.16899999999999998,12409.0,1576,4,2,3,2,2517,1.996,25,1.5
0,0,0,1,0,4,1,0,0,1,0,59,6335.0,36,0.17800000000000002,5207.0,1217,1,3,2,3,1128,0.397,20,0.667
1,1,0,3,0,3,1,0,0,1,0,59,14979.0,53,0.0,14979.0,530,1,2,3,3,0,0.71,10,1.0
1,0,0,1,0,1,1,0,1,0,0,48,2732.0,38,0.0,2732.0,739,4,3,2,3,0,0.76,16,0.455
0,0,0,1,0,4,1,0,0,1,0,41,2250.0,32,0.941,133.0,1617,2,6,3,2,2117,1.162,31,2.875
0,1,0,5,0,4,1,0,1,0,0,55,10916.0,50,0.141,9380.0,1592,2,3,2,0,1536,1.317,34,1.0
0,0,1,1,0,4,1,0,1,0,0,47,5349.0,36,0.23,4121.0,1343,4,4,1,3,1228,0.728,30,1.308
0,1,0,4,0,2,1,0,1,0,0,41,9366.0,24,0.11800000000000001,8262.0,1303,2,4,1,3,1104,0.5720000000000001,39,0.625
0,1,0,4,0,2,1,0,0,1,0,40,21617.0,28,0.0,21617.0,1351,3,5,1,0,0,1.047,22,0.467
0,1,1,1,0,4,1,0,1,0,0,68,13860.0,56,0.11900000000000001,12208.0,1910,1,5,2,3,1652,1.255,32,1.909
0,0,0,2,0,4,4,0,0,1,0,50,18386.0,31,0.0,18386.0,1298,1,2,2,3,0,0.868,22,0.5710000000000001
0,1,0,3,0,1,1,0,0,1,0,47,2405.0,41,0.64,865.0,1087,4,6,2,2,1540,0.469,29,1.2309999999999999
0,0,0,1,0,3,1,0,1,0,0,53,2154.0,47,0.43200000000000005,1224.0,1439,1,4,2,3,930,2.121,26,1.364
0,0,0,2,1,4,1,0,1,0,0,42,2038.0,36,0.0,2038.0,1238,5,3,3,3,0,0.7859999999999999,28,0.75
0,0,0,2,0,2,1,0,0,1,0,48,8135.0,38,0.0,8135.0,1716,4,6,1,3,0,1.3730000000000002,29,0.812
0,1,0,5,0,6,1,0,1,0,0,49,9364.0,38,0.066,8746.0,1099,1,6,1,3,618,0.5539999999999999,27,0.8
0,0,1,1,0,1,4,0,1,0,0,44,32643.0,35,0.0,32643.0,1058,2,4,3,2,0,1.3,24,2.4290000000000003
0,0,0,1,0,4,1,1,0,0,0,43,3195.0,34,0.612,1241.0,1285,4,2,3,1,1954,0.971,29,0.706
0,1,0,4,0,2,1,0,1,0,0,56,2852.0,43,0.359,1828.0,1651,0,5,2,1,1024,1.0090000000000001,28,1.0
0,0,1,1,0,3,1,0,0,1,0,59,4224.0,36,0.309,2919.0,1152,1,2,3,3,1305,0.852,31,0.8240000000000001
0,1,0,3,0,1,1,0,1,0,0,46,20459.0,36,0.10099999999999999,18388.0,1767,1,3,2,2,2071,1.248,38,2.167
0,0,0,1,1,4,1,1,0,0,0,47,3482.0,41,0.607,1368.0,1039,4,6,5,3,2114,0.508,24,0.263
0,0,0,2,0,1,1,0,1,0,0,50,3065.0,40,0.512,1495.0,1130,4,5,2,3,1570,1.077,28,1.3330000000000002
0,0,0,1,0,1,1,0,1,0,0,51,2185.0,43,0.8059999999999999,424.0,1645,3,3,1,2,1761,0.682,30,0.429
0,0,0,1,0,1,1,0,1,0,0,47,1611.0,36,0.46299999999999997,865.0,1413,3,4,1,0,746,0.993,29,0.706
0,0,0,1,0,1,1,0,1,0,0,58,2822.0,47,0.77,649.0,1218,4,3,3,3,2173,1.456,23,2.286
1,1,0,4,0,4,1,0,0,1,0,46,32975.0,33,0.076,30458.0,597,5,6,3,3,2517,0.6579999999999999,17,0.7
0,1,0,3,0,2,1,0,1,0,0,53,1438.3,47,0.0,1438.3,2184,3,5,2,2,0,0.7759999999999999,53,0.828
0,0,1,1,0,1,1,1,0,0,0,45,15875.0,36,0.10800000000000001,14156.0,1592,4,4,3,3,1719,0.86,37,1.4669999999999999
0,0,0,1,0,2,1,0,1,0,0,52,6703.0,45,0.133,5810.0,1388,1,6,3,3,893,0.5670000000000001,28,0.75
1,1,0,4,1,4,1,0,1,0,0,53,3212.0,36,0.0,3212.0,757,2,2,2,1,0,0.713,20,0.25
0,1,0,4,0,2,4,0,1,0,0,50,34516.0,45,0.037000000000000005,33256.0,1504,2,3,1,3,1260,0.588,34,0.789
0,0,0,2,0,2,1,0,1,0,0,41,9797.0,36,0.146,8363.0,1503,3,4,1,2,1434,0.644,34,0.478
0,0,0,2,0,4,1,1,0,0,0,45,10400.0,36,0.171,8623.0,1105,5,5,2,2,1777,0.7909999999999999,28,0.867
0,1,0,4,0,1,1,0,1,0,0,53,26792.0,42,0.069,24956.0,2398,3,2,1,2,1836,1.432,47,0.88
0,0,0,1,0,4,1,0,1,0,0,67,3006.0,56,0.8370000000000001,489.0,1661,1,4,3,2,2517,2.053,32,1.0
0,0,0,2,0,1,4,0,0,1,0,57,19482.0,36,0.055,18410.0,1421,2,6,3,0,1072,0.706,22,1.444
0,0,0,2,0,1,1,0,1,0,0,59,3356.0,36,0.294,2371.0,999,1,4,2,3,985,0.35,28,0.556
0,1,0,2,0,1,1,0,1,0,0,45,5771.0,34,0.39,3523.0,1387,2,3,2,1,2248,1.791,18,0.8
0,1,0,4,0,4,1,0,1,0,0,51,11106.0,36,0.19,8999.0,1243,3,6,2,3,2107,0.948,24,1.0
0,0,0,1,0,1,1,0,1,0,0,59,2890.0,54,0.6920000000000001,889.0,1860,1,5,3,0,2001,1.334,36,1.0
0,1,0,3,0,4,1,0,1,0,0,53,3380.0,45,0.503,1679.0,1502,1,6,2,2,1701,0.747,25,1.273
0,1,0,3,0,4,1,0,1,0,0,47,21331.0,36,0.059000000000000004,20080.0,1460,3,2,1,2,1251,0.9490000000000001,50,1.083
0,0,1,1,0,1,1,0,0,1,0,49,12860.0,38,0.0,12860.0,1348,3,6,2,1,0,0.6459999999999999,27,0.28600000000000003
0,1,0,4,0,5,1,0,0,1,0,49,6278.0,33,0.07400000000000001,5816.0,1087,3,3,1,0,462,1.161,33,0.941
0,0,0,1,0,3,1,0,0,1,0,60,1438.3,55,0.513,700.3,1226,0,5,1,3,738,0.782,33,0.5710000000000001
0,0,0,1,0,2,1,0,1,0,0,50,9355.0,36,0.174,7729.0,1230,2,5,1,2,1626,0.701,28,0.867
0,0,1,1,0,5,1,0,1,0,0,41,20758.0,31,0.0,20758.0,1555,2,6,1,3,0,0.688,32,0.684
0,1,0,4,0,4,1,0,1,0,0,57,14612.0,47,0.135,12636.0,1827,1,5,3,1,1976,1.768,24,3.0
0,1,0,4,0,4,1,0,0,0,1,43,27259.0,27,0.0,27259.0,1376,4,5,2,0,0,0.731,35,0.591
0,0,0,1,0,4,1,0,1,0,0,57,6347.0,47,0.251,4753.0,1771,3,4,2,3,1594,0.8959999999999999,37,0.762
0,1,0,5,0,6,1,0,1,0,0,54,21592.0,41,0.078,19916.0,1873,3,3,3,0,1676,1.097,52,0.529
0,0,0,1,0,5,1,0,1,0,0,51,3449.0,44,0.46299999999999997,1851.0,1679,5,5,1,1,1598,0.971,42,0.556
0,0,0,1,0,2,1,0,1,0,0,47,6028.0,34,0.133,5229.0,1002,3,2,1,2,799,0.8190000000000001,22,0.5710000000000001
0,1,0,5,0,2,1,0,0,0,1,41,18214.0,36,0.11,16216.0,1344,0,3,2,3,1998,0.8290000000000001,21,1.1
0,1,0,4,0,1,1,0,1,0,0,53,16393.0,43,0.087,14970.0,1461,3,3,3,1,1423,1.642,42,0.75
1,1,0,1,0,2,1,0,1,0,0,68,1438.3,52,0.626,538.3,760,0,1,3,2,900,0.743,21,0.615
0,1,0,3,0,3,1,0,1,0,0,59,7871.0,36,0.214,6184.0,1428,1,4,1,2,1687,1.242,22,1.444
0,1,0,4,1,4,1,0,1,0,0,48,5288.0,36,0.16399999999999998,4422.0,1777,4,5,3,0,866,0.8690000000000001,42,0.75
0,1,0,3,0,4,1,0,1,0,0,44,11376.0,32,0.17600000000000002,9370.0,1302,5,4,5,3,2006,0.619,27,0.8
0,1,0,4,0,3,1,0,1,0,0,48,12302.0,41,0.133,10670.0,1483,3,4,5,3,1632,1.5090000000000001,41,0.519
