Gender,Card_Category,Missing_Income,Income_Category,Missing_Education,Education_Level,Marital_Divorced,Marital_Married,Marital_Single,Marital_Unknown,Customer_Age,Avg_Utilization_Ratio,Avg_Open_To_Buy,Total_Trans_Amt,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Attrition
1,1,0,2,0,1,0,1,0,0,41,0.152,3790.0,931,3,4,2,1,680,1.608,1.571,0
0,1,0,1,1,2,0,0,1,0,47,0.626,932.0,1126,4,3,3,2,1560,0.573,0.353,0
1,1,0,3,1,2,0,1,0,0,54,0.0,12217.0,1110,2,4,2,3,0,1.075,0.75,0
0,1,0,1,0,2,0,0,1,0,41,0.215,6099.0,1051,3,6,1,2,1669,0.797,0.833,0
1,1,0,2,0,1,0,0,0,1,59,0.093,13410.0,1197,1,4,1,2,1374,0.921,1.3,0
1,1,0,4,1,2,0,1,0,0,63,0.099,9205.0,1904,1,3,3,2,1010,0.843,1.0,0
0,1,1,1,0,3,0,0,1,0,44,0.0,10100.0,1052,3,5,2,2,0,0.525,1.571,0
1,1,0,2,0,1,0,1,0,0,47,0.285,3423.0,1045,4,6,0,0,1362,0.739,0.9,0
1,1,0,3,1,2,0,1,0,0,53,0.658,942.0,1038,3,3,2,3,1811,0.977,2.571,0
1,1,0,4,0,3,0,1,0,0,53,0.69,761.0,1596,2,2,5,1,1690,1.323,1.6,0
1,1,0,4,0,2,0,1,0,0,41,0.282,6406.0,1589,4,4,1,2,2517,1.726,1.667,0
0,1,0,1,0,4,0,1,0,0,53,0.562,1160.0,1411,2,5,2,3,1490,1.75,1.0,0
1,1,0,3,0,2,0,1,0,0,58,0.135,10859.0,1291,0,6,2,2,1696,0.519,0.714,0
0,1,0,1,0,4,0,0,1,0,55,0.544,1606.0,1407,1,4,2,1,1914,0.51,0.483,0
0,1,0,1,0,2,0,1,0,0,55,0.757,737.0,1877,3,6,2,3,2298,1.724,1.176,0
0,3,0,1,0,1,0,1,0,0,42,0.0,15433.0,966,4,2,3,3,0,0.865,1.2,0
0,1,0,2,0,2,0,0,0,1,57,0.241,2786.0,1464,1,3,3,2,886,1.32,0.556,0
0,1,1,1,0,6,0,1,0,0,66,0.077,7277.0,704,0,5,4,3,605,1.052,0.143,1
1,1,0,3,0,2,0,0,1,0,45,0.018,31848.0,1109,3,2,2,2,578,1.042,0.474,0
1,1,0,2,1,2,0,1,0,0,51,0.355,4001.0,1347,2,4,1,0,2204,0.803,0.556,0
0,2,0,2,0,4,0,0,1,0,50,0.145,14787.0,1756,1,3,2,3,2517,1.449,1.2,0
1,1,0,4,0,1,0,1,0,0,49,0.0,3906.0,1756,3,5,2,1,0,1.214,1.0,0
0,1,1,1,0,2,0,0,1,0,38,0.209,7775.0,1042,4,2,3,3,2055,0.977,0.917,0
1,1,0,3,0,3,0,0,1,0,49,0.0,34516.0,1444,4,3,2,3,0,1.621,1.333,0
1,1,0,4,0,6,0,1,0,0,56,0.626,853.0,1741,2,6,2,0,1430,2.316,0.588,0
1,1,0,2,0,6,0,1,0,0,59,0.793,528.0,1719,1,3,2,2,2020,2.357,1.7,0
1,1,0,3,0,1,0,1,0,0,46,0.074,18023.0,1217,3,4,3,3,1435,0.787,0.8,0
1,1,0,3,0,4,0,0,1,0,52,0.259,3518.0,1140,1,5,1,1,1227,0.624,0.6,0
0,1,0,1,1,2,0,1,0,0,52,0.591,1073.0,1878,3,6,3,2,1549,1.321,1.143,0
0,1,0,1,0,2,0,1,0,0,54,0.562,630.3,705,1,2,3,1,808,0.997,0.9,1
0,1,0,1,0,1,0,1,0,0,66,0.687,992.0,1946,0,3,4,2,2179,1.224,1.923,0
1,1,0,5,1,2,0,1,0,0,49,0.127,17246.0,1414,2,4,2,0,2517,0.664,0.25,0
1,1,0,5,0,2,0,1,0,0,56,0.0,15769.0,602,2,1,3,3,0,1.041,0.364,1
0,1,0,1,0,2,0,0,0,1,49,0.667,1098.0,1052,4,6,4,2,2200,0.678,0.6,0
0,1,0,1,0,2,0,0,1,0,49,0.843,439.0,1295,3,2,2,0,2363,0.75,0.6,0
1,1,0,2,0,3,0,1,0,0,56,0.422,2578.0,1424,2,4,2,3,1880,1.107,1.417,0
0,1,1,1,0,2,0,1,0,0,44,0.156,5295.0,1359,5,4,1,2,978,2.275,1.083,0
1,1,0,4,0,1,0,0,1,0,42,0.525,1583.0,1168,2,4,4,3,1753,0.69,1.25,0
1,1,0,3,1,2,0,1,0,0,55,0.587,1420.0,1097,3,4,2,3,2016,0.901,0.833,0
1,2,0,4,0,2,0,1,0,0,48,0.0,34516.0,691,2,2,4,4,0,0.763,0.5,1
1,1,0,4,0,1,1,0,0,0,39,0.211,4675.0,1316,1,5,3,3,1251,0.944,1.154,0
1,1,0,5,0,5,0,0,1,0,44,0.088,21855.0,1276,4,2,4,2,2102,0.997,0.733,0
1,1,0,5,0,1,0,0,1,0,53,0.111,13100.0,1289,2,4,2,2,1634,0.989,0.917,0
1,2,0,3,0,3,0,0,1,0,51,0.044,33001.0,1293,4,4,1,4,1515,0.592,0.6,0
1,1,0,4,0,4,0,1,0,0,57,0.276,4767.0,1353,2,5,3,3,1817,0.62,0.667,0
0,1,0,1,0,3,0,0,1,0,44,0.704,616.0,1132,2,6,3,3,1468,1.004,0.556,0
1,1,0,4,0,2,0,1,0,0,49,0.656,580.0,1670,2,2,2,2,1107,1.715,2.4,0
1,1,0,3,0,6,0,1,0,0,50,0.053,23970.0,837,2,6,2,2,1330,1.072,2.0,0
1,1,0,5,0,2,0,0,1,0,51,0.051,32753.0,1550,4,3,2,3,1763,1.266,1.05,0
0,1,0,1,0,2,0,1,0,0,55,0.467,1182.0,1540,2,5,3,3,1034,0.758,0.286,0
1,1,0,4,0,2,0,0,0,1,54,0.698,880.0,1256,1,4,2,3,2030,0.769,0.4,0
1,1,0,3,0,3,0,1,0,0,42,0.067,21385.0,1394,5,6,2,2,1528,0.414,0.522,0
1,1,0,4,0,4,0,0,1,0,44,0.079,22380.0,1341,1,3,3,3,1932,1.312,1.182,0
1,1,0,3,0,2,0,0,1,0,53,0.287,3757.0,1289,2,5,3,2,1515,0.857,0.435,0
0,1,0,1,0,2,0,0,1,0,44,0.36,4483.0,1112,4,6,4,2,2517,0.475,1.875,0
0,1,0,1,0,3,0,0,1,0,37,0.256,5237.0,2339,3,4,4,2,1801,0.751,0.966,0
1,1,0,4,0,2,1,0,0,0,49,0.719,713.0,1468,3,6,1,2,1823,0.703,0.353,0
1,1,0,3,0,2,0,1,0,0,47,0.066,27005.0,1334,2,6,3,2,1899,0.85,0.4,0
1,1,0,4,0,2,0,1,0,0,47,0.198,6872.0,1457,3,4,4,0,1695,1.242,1.412,0
1,1,0,5,1,2,0,0,0,1,44,0.044,32983.0,1603,1,6,2,2,1533,0.924,0.526,0
0,1,0,2,1,2,0,1,0,0,55,0.0,2158.0,615,4,2,4,3,0,0.585,0.714,1
0,1,1,1,0,2,0,1,0,0,59,0.14,8716.0,1068,1,2,3,3,1417,0.383,0.818,0
1,1,0,3,0,2,1,0,0,0,53,0.035,33297.0,1590,1,5,4,2,1219,1.129,2.0,0
1,1,0,4,0,2,0,1,0,0,52,0.619,1175.0,1531,2,5,3,0,1910,0.921,0.667,0
1,1,0,5,0,1,0,0,1,0,53,0.108,16984.0,1212,2,4,2,1,2056,0.607,0.722,0
0,1,0,1,0,3,0,0,1,0,43,0.0,4026.0,1237,3,5,2,3,0,0.483,0.6,0
1,1,0,4,0,1,0,0,1,0,44,0.066,11919.0,1413,3,4,3,1,837,1.932,1.8,0
1,1,0,5,1,2,0,1,0,0,57,0.0,5266.0,1516,2,5,3,3,0,1.702,1.636,0
0,1,0,1,0,1,0,0,1,0,51,0.0,9930.0,1276,2,3,2,2,0,0.731,1.333,0
1,1,0,3,0,1,0,0,1,0,49,0.062,29349.0,1564,4,4,3,0,1953,0.875,2.182,0
1,1,0,2,0,2,0,0,1,0,45,0.0,6576.0,1465,1,4,4,3,0,0.579,0.619,0
1,1,0,3,0,2,0,0,1,0,53,0.765,627.0,1286,0,5,4,1,2037,0.85,0.933,0
0,1,1,1,1,2,0,1,0,0,45,0.963,95.0,1312,3,5,1,2,2440,1.705,1.222,0
1,1,0,1,0,2,0,1,0,0,64,0.524,814.0,1673,1,6,4,3,895,1.656,0.882,0
1,1,0,2,0,2,0,1,0,0,45,0.347,2254.0,1313,3,5,4,2,1200,0.597,0.304,0
1,1,0,2,0,6,0,1,0,0,53,0.45,2083.0,1609,3,5,3,2,1706,1.047,0.68,0
1,1,0,5,0,4,0,1,0,0,56,0.232,7439.0,1158,3,3,2,0,2250,0.576,0.727,0
1,1,0,3,1,2,0,1,0,0,47,0.299,3821.0,836,2,2,3,3,1628,0.696,0.385,1
0,1,1,1,0,4,0,0,1,0,49,0.085,21072.0,1289,3,4,4,0,1960,0.619,1.0,0
0,2,1,1,1,2,0,1,0,0,41,0.059,32463.0,1487,3,5,3,3,2053,1.034,0.733,0
1,1,0,5,0,2,0,1,0,0,53,0.43,1676.0,1259,3,6,2,2,1264,0.562,0.5,0
0,1,0,1,0,2,0,0,1,0,44,0.62,1152.0,1298,2,3,3,3,1879,0.788,1.5,0
1,1,0,4,0,1,0,0,0,1,44,0.0,1862.0,1226,3,3,3,0,0,0.883,0.789,0
0,1,0,1,0,5,0,1,0,0,43,0.111,7432.0,1566,4,2,3,3,926,0.762,0.542,0
1,1,0,5,0,5,0,0,1,0,53,0.027,33585.0,1022,2,6,1,2,931,0.828,1.1,0
1,1,0,4,0,3,0,1,0,0,44,0.169,12010.0,1235,1,5,2,3,2440,1.283,0.667,0
0,1,0,1,1,2,0,1,0,0,62,0.0,1438.3,1951,1,6,0,0,0,0.813,1.095,0
1,1,0,5,1,2,1,0,0,0,54,0.058,31831.0,1047,4,6,3,2,1960,0.618,0.824,0
1,1,0,4,0,2,0,1,0,0,57,0.223,6580.0,1342,4,4,3,0,1886,0.56,0.391,0
1,1,0,4,1,2,0,1,0,0,42,0.057,14223.0,1107,3,5,3,3,865,0.939,1.625,0
1,1,0,4,0,1,1,0,0,0,42,0.513,1589.0,1251,4,5,1,2,1674,0.588,0.346,0
0,1,0,1,0,3,0,1,0,0,54,0.473,788.0,1305,0,2,2,2,706,1.674,3.0,0
1,1,0,3,0,2,0,0,1,0,48,0.095,12257.0,1388,3,6,1,0,1294,0.791,1.056,0
1,1,0,3,0,2,0,0,1,0,49,0.047,17991.0,1235,1,6,2,2,895,1.826,1.571,0
1,1,0,3,0,1,0,0,0,1,52,0.106,10703.0,2089,3,3,2,0,1273,1.024,1.118,0
1,1,0,3,0,1,0,0,1,0,50,0.156,8405.0,1626,3,4,1,4,1559,1.873,0.786,0
1,1,0,4,0,6,0,1,0,0,49,0.05,22963.0,1111,1,4,6,3,1196,0.712,1.0,0
0,1,0,1,0,1,0,1,0,0,53,0.355,3461.0,1553,2,3,2,3,1901,0.816,1.0,0
1,1,0,5,0,2,0,0,1,0,50,0.03,33493.0,1064,2,3,2,2,1023,1.004,0.625,0
0,1,0,1,0,6,0,1,0,0,55,0.615,1223.0,1243,1,4,1,0,1951,0.766,0.611,0
1,1,0,3,0,1,0,1,0,0,53,0.15,10426.0,1659,1,3,2,2,1836,1.584,1.533,0
0,1,0,2,0,1,0,0,1,0,47,0.407,2248.0,1594,3,4,3,3,1540,0.566,0.382,0
1,2,0,5,0,4,0,0,1,0,55,0.044,32989.0,1268,2,2,3,2,1527,0.526,0.355,0
1,1,0,4,0,2,0,0,1,0,47,0.0,2926.0,1304,3,4,2,2,0,0.676,0.846,0
1,1,0,5,0,2,0,0,1,0,58,0.0,32090.0,1368,4,6,1,0,0,0.567,0.364,0
1,1,0,3,0,2,0,1,0,0,53,0.191,9442.0,720,2,3,3,2,2227,0.622,0.353,1
1,1,0,2,0,1,0,0,1,0,52,0.096,12232.0,1521,2,3,1,2,1300,0.846,1.417,0
0,2,0,1,0,3,0,0,0,1,50,0.176,9798.0,1137,1,4,2,2,2090,0.7,0.765,0
0,1,0,1,0,2,0,1,0,0,42,0.83,408.0,978,1,5,1,2,1985,0.788,0.778,0
1,1,0,2,1,2,0,1,0,0,43,0.412,3594.0,1221,4,5,1,2,2517,0.632,2.2,0
1,1,0,3,0,2,0,1,0,0,57,0.086,17608.0,1565,4,3,2,3,1662,1.186,1.545,0
1,1,0,3,0,2,0,1,0,0,52,0.678,1193.0,1578,1,3,1,4,2517,1.541,0.7,0
1,1,0,1,0,6,0,0,1,0,47,0.246,2438.0,1493,2,2,1,3,797,0.541,1.0,0
0,1,0,2,0,2,0,0,1,0,44,0.067,10961.0,1178,3,3,1,0,788,0.688,0.929,0
1,1,0,4,0,1,1,0,0,0,53,0.271,5653.0,991,2,5,3,2,2100,0.839,0.733,0
1,1,0,4,0,4,1,0,0,0,45,0.114,9222.0,2560,4,5,1,0,1186,1.689,1.211,0
0,1,1,1,0,4,0,1,0,0,63,0.395,2399.0,1657,1,6,2,3,1568,1.236,1.231,0
0,1,0,1,0,5,0,0,1,0,39,0.406,3688.0,1204,2,4,2,2,2517,0.939,0.727,0
0,1,0,1,0,1,0,1,0,0,48,0.0,8025.0,673,5,1,3,3,0,0.654,0.8,1
1,1,0,5,1,2,0,0,1,0,51,0.258,6709.0,1131,1,6,2,3,2327,0.649,0.636,0
1,1,0,3,0,2,0,1,0,0,54,0.169,12409.0,1576,4,2,3,2,2517,1.996,1.5,0
0,1,0,1,0,2,0,0,1,0,59,0.178,5207.0,1217,1,3,2,3,1128,0.397,0.667,0
1,1,0,4,0,4,0,0,1,0,59,0.0,14979.0,530,1,2,3,3,0,0.71,1.0,1
0,1,0,1,0,3,0,1,0,0,48,0.0,2732.0,739,4,3,2,3,0,0.76,0.455,1
0,1,0,1,0,2,0,0,1,0,41,0.941,133.0,1617,2,6,3,2,2117,1.162,2.875,0
1,1,0,5,0,2,0,1,0,0,55,0.141,9380.0,1592,2,3,2,0,1536,1.317,1.0,0
0,1,1,1,0,2,0,1,0,0,47,0.23,4121.0,1343,4,4,1,3,1228,0.728,1.308,0
1,1,0,3,0,1,0,1,0,0,41,0.118,8262.0,1303,2,4,1,3,1104,0.572,0.625,0
1,1,0,3,0,1,0,0,1,0,40,0.0,21617.0,1351,3,5,1,0,0,1.047,0.467,0
1,1,1,1,0,2,0,1,0,0,68,0.119,12208.0,1910,1,5,2,3,1652,1.255,1.909,0
0,2,0,2,0,2,0,0,1,0,50,0.0,18386.0,1298,1,2,2,3,0,0.868,0.571,0
1,1,0,4,0,3,0,0,1,0,47,0.64,865.0,1087,4,6,2,2,1540,0.469,1.231,0
0,1,0,1,0,4,0,1,0,0,53,0.432,1224.0,1439,1,4,2,3,930,2.121,1.364,0
0,1,0,2,1,2,0,1,0,0,42,0.0,2038.0,1238,5,3,3,3,0,0.786,0.75,0
0,1,0,2,0,1,0,0,1,0,48,0.0,8135.0,1716,4,6,1,3,0,1.373,0.812,0
1,1,0,5,0,6,0,1,0,0,49,0.066,8746.0,1099,1,6,1,3,618,0.554,0.8,0
0,2,1,1,0,3,0,1,0,0,44,0.0,32643.0,1058,2,4,3,2,0,1.3,2.429,0
0,1,0,1,0,2,1,0,0,0,43,0.612,1241.0,1285,4,2,3,1,1954,0.971,0.706,0
1,1,0,3,0,1,0,1,0,0,56,0.359,1828.0,1651,0,5,2,1,1024,1.009,1.0,0
0,1,1,1,0,4,0,0,1,0,59,0.309,2919.0,1152,1,2,3,3,1305,0.852,0.824,0
1,1,0,4,0,3,0,1,0,0,46,0.101,18388.0,1767,1,3,2,2,2071,1.248,2.167,0
0,1,0,1,1,2,1,0,0,0,47,0.607,1368.0,1039,4,6,5,3,2114,0.508,0.263,0
0,1,0,2,0,3,0,1,0,0,50,0.512,1495.0,1130,4,5,2,3,1570,1.077,1.333,0
0,1,0,1,0,3,0,1,0,0,51,0.806,424.0,1645,3,3,1,2,1761,0.682,0.429,0
0,1,0,1,0,3,0,1,0,0,47,0.463,865.0,1413,3,4,1,0,746,0.993,0.706,0
0,1,0,1,0,3,0,1,0,0,58,0.77,649.0,1218,4,3,3,3,2173,1.456,2.286,0
1,1,0,3,0,2,0,0,1,0,46,0.076,30458.0,597,5,6,3,3,2517,0.658,0.7,1
1,1,0,4,0,1,0,1,0,0,53,0.0,1438.3,2184,3,5,2,2,0,0.776,0.828,0
0,1,1,1,0,3,1,0,0,0,45,0.108,14156.0,1592,4,4,3,3,1719,0.86,1.467,0
0,1,0,1,0,1,0,1,0,0,52,0.133,5810.0,1388,1,6,3,3,893,0.567,0.75,0
1,1,0,3,1,2,0,1,0,0,53,0.0,3212.0,757,2,2,2,1,0,0.713,0.25,1
1,2,0,3,0,1,0,1,0,0,50,0.037,33256.0,1504,2,3,1,3,1260,0.588,0.789,0
0,1,0,2,0,1,0,1,0,0,41,0.146,8363.0,1503,3,4,1,2,1434,0.644,0.478,0
0,1,0,2,0,2,1,0,0,0,45,0.171,8623.0,1105,5,5,2,2,1777,0.791,0.867,0
1,1,0,3,0,3,0,1,0,0,53,0.069,24956.0,2398,3,2,1,2,1836,1.432,0.88,0
0,1,0,1,0,2,0,1,0,0,67,0.837,489.0,1661,1,4,3,2,2517,2.053,1.0,0
0,2,0,2,0,3,0,0,1,0,57,0.055,18410.0,1421,2,6,3,0,1072,0.706,1.444,0
0,1,0,2,0,3,0,1,0,0,59,0.294,2371.0,999,1,4,2,3,985,0.35,0.556,0
1,1,0,2,0,3,0,1,0,0,45,0.39,3523.0,1387,2,3,2,1,2248,1.791,0.8,0
1,1,0,3,0,2,0,1,0,0,51,0.19,8999.0,1243,3,6,2,3,2107,0.948,1.0,0
0,1,0,1,0,3,0,1,0,0,59,0.692,889.0,1860,1,5,3,0,2001,1.334,1.0,0
1,1,0,4,0,2,0,1,0,0,53,0.503,1679.0,1502,1,6,2,2,1701,0.747,1.273,0
1,1,0,4,0,2,0,1,0,0,47,0.059,20080.0,1460,3,2,1,2,1251,0.949,1.083,0
0,1,1,1,0,3,0,0,1,0,49,0.0,12860.0,1348,3,6,2,1,0,0.646,0.286,0
1,1,0,3,0,5,0,0,1,0,49,0.074,5816.0,1087,3,3,1,0,462,1.161,0.941,0
0,1,0,1,0,4,0,0,1,0,60,0.513,700.3,1226,0,5,1,3,738,0.782,0.571,0
0,1,0,1,0,1,0,1,0,0,50,0.174,7729.0,1230,2,5,1,2,1626,0.701,0.867,0
0,1,1,1,0,5,0,1,0,0,41,0.0,20758.0,1555,2,6,1,3,0,0.688,0.684,0
1,1,0,3,0,2,0,1,0,0,57,0.135,12636.0,1827,1,5,3,1,1976,1.768,3.0,0
1,1,0,3,0,2,0,0,0,1,43,0.0,27259.0,1376,4,5,2,0,0,0.731,0.591,0
0,1,0,1,0,2,0,1,0,0,57,0.251,4753.0,1771,3,4,2,3,1594,0.896,0.762,0
1,1,0,5,0,6,0,1,0,0,54,0.078,19916.0,1873,3,3,3,0,1676,1.097,0.529,0
0,1,0,1,0,5,0,1,0,0,51,0.463,1851.0,1679,5,5,1,1,1598,0.971,0.556,0
0,1,0,1,0,1,0,1,0,0,47,0.133,5229.0,1002,3,2,1,2,799,0.819,0.571,0
1,1,0,5,0,1,0,0,0,1,41,0.11,16216.0,1344,0,3,2,3,1998,0.829,1.1,0
1,1,0,3,0,3,0,1,0,0,53,0.087,14970.0,1461,3,3,3,1,1423,1.642,0.75,0
1,1,0,1,0,1,0,1,0,0,68,0.626,538.3,760,0,1,3,2,900,0.743,0.615,1
1,1,0,4,0,4,0,1,0,0,59,0.214,6184.0,1428,1,4,1,2,1687,1.242,1.444,0
1,1,0,3,1,2,0,1,0,0,48,0.164,4422.0,1777,4,5,3,0,866,0.869,0.75,0
1,1,0,4,0,2,0,1,0,0,44,0.176,9370.0,1302,5,4,5,3,2006,0.619,0.8,0
1,1,0,3,0,4,0,1,0,0,48,0.133,10670.0,1483,3,4,5,3,1632,1.509,0.519,0
1,2,0,4,0,2,0,1,0,0,47,0.049,32837.0,1060,4,3,2,1,1679,0.623,0.5,0
1,2,0,4,0,2,0,1,0,0,47,0.043,33048.0,1330,2,4,2,2,1468,0.505,0.684,0
0,2,0,1,0,1,1,0,0,0,43,0.15,8934.0,1229,1,3,2,2,1580,0.504,0.8,0
0,1,0,1,0,2,0,1,0,0,55,0.0,1438.3,886,2,2,4,3,0,0.707,0.421,1
1,1,0,4,0,5,0,1,0,0,59,0.0,1438.3,844,2,3,3,3,0,0.688,0.5,1
1,1,0,2,0,2,0,1,0,0,63,0.679,840.0,1450,1,2,1,2,1779,1.259,0.947,0
1,1,0,5,0,4,0,1,0,0,58,0.098,22012.0,2311,2,2,3,0,2395,1.071,0.714,0
0,1,0,1,0,1,0,1,0,0,53,0.694,728.0,1378,2,4,1,2,1649,0.93,1.167,0
1,2,0,3,1,2,0,0,0,1,59,0.039,33157.0,1033,0,3,2,3,1359,1.327,1.364,0
1,1,0,5,0,2,0,1,0,0,52,0.199,8879.0,1523,3,5,3,3,2207,0.869,1.105,0
1,1,0,4,0,1,0,0,1,0,48,0.22,8915.0,1374,3,4,2,2,2517,0.615,0.762,0
1,1,0,2,0,1,0,1,0,0,43,0.13,11537.0,1080,4,5,3,2,1721,0.908,1.333,0
1,1,0,1,0,4,0,0,1,0,48,0.76,616.0,1234,2,3,2,3,1955,0.531,0.714,0
0,1,0,1,0,2,0,0,1,0,43,0.202,4613.0,1600,4,5,2,0,1168,0.638,0.455,0
1,1,0,4,1,2,0,1,0,0,44,0.319,5363.0,1155,4,5,1,2,2509,0.971,0.882,0
1,1,0,3,0,1,0,1,0,0,41,0.035,33314.0,1353,3,6,1,2,1202,0.603,0.737,0
0,2,0,1,0,3,1,0,0,0,44,0.165,9292.0,1546,3,4,1,3,1835,2.368,1.273,0
1,1,0,2,1,2,0,0,1,0,50,0.863,254.0,1590,2,2,1,3,1603,0.579,1.263,0
0,1,0,1,0,3,0,1,0,0,60,0.665,641.0,1448,1,5,1,0,1272,1.008,1.0,0
1,1,0,3,0,2,0,0,1,0,44,0.598,1544.0,1271,4,5,3,0,2295,0.569,0.714,0
0,1,0,2,0,2,1,0,0,0,48,0.539,974.0,1223,3,6,2,3,1141,0.616,0.538,0
0,1,0,1,0,2,1,0,0,0,44,0.472,759.3,1117,2,5,2,2,679,0.859,1.071,0
1,1,0,3,0,1,0,0,1,0,41,0.064,25967.0,994,2,4,3,0,1789,0.75,0.846,0
1,1,0,4,0,4,0,0,1,0,45,0.0,1438.3,1468,3,4,1,2,0,0.81,0.625,0
0,2,0,1,0,3,1,0,0,0,47,0.16,11656.0,1658,2,6,4,2,2222,0.853,0.357,0
0,1,0,1,0,2,0,1,0,0,51,0.42,1802.0,1368,2,3,1,3,1304,0.604,0.407,0
1,1,0,5,0,2,0,1,0,0,51,0.048,32850.0,1218,2,4,3,3,1666,0.613,0.8,0
0,1,0,2,0,3,0,1,0,0,60,0.713,413.3,702,1,4,4,3,1025,0.838,0.714,1
1,1,0,3,1,2,0,1,0,0,57,0.092,17131.0,1516,2,2,3,0,1740,1.727,2.0,0
1,1,0,5,0,2,0,0,1,0,41,0.336,3459.0,1310,5,5,2,2,1748,1.073,1.0,0
1,1,0,3,0,5,1,0,0,0,44,0.092,16321.0,1767,3,6,2,2,1644,0.921,0.923,0
1,1,0,4,0,4,0,0,1,0,43,0.666,914.0,933,1,6,3,3,1819,0.767,0.923,0
1,1,0,4,0,4,0,1,0,0,55,0.147,7562.0,1512,2,4,3,2,1301,1.207,1.455,0
1,1,0,3,0,3,0,1,0,0,52,0.987,24.0,829,1,2,3,3,1833,0.723,0.7,1
1,1,0,3,0,2,0,0,0,1,44,0.0,34516.0,1120,3,3,3,3,0,0.483,0.35,0
1,1,0,2,0,3,0,1,0,0,41,0.11,9885.0,1506,2,5,3,3,1222,0.538,0.941,0
1,1,0,3,1,2,0,0,1,0,44,0.073,19988.0,1384,4,4,1,2,1585,0.621,2.273,0
0,1,0,1,1,2,0,1,0,0,53,0.88,342.0,817,2,2,3,3,2517,0.993,0.667,1
1,1,0,3,0,1,0,0,1,0,39,0.28,3794.0,2094,2,4,2,2,1475,1.148,0.667,0
1,1,0,2,0,4,0,1,0,0,49,0.0,1438.3,815,5,2,2,3,0,0.734,0.615,1
0,1,0,1,0,4,0,1,0,0,45,0.0,3387.0,510,2,1,3,2,0,0.789,0.6,1
1,1,0,3,0,2,0,1,0,0,54,0.65,693.0,1377,2,6,2,3,1289,0.939,0.69,0
1,1,0,3,0,3,0,0,1,0,49,0.355,2995.0,1193,3,2,2,2,1650,0.912,0.65,0
0,1,1,1,0,6,0,0,1,0,46,0.761,523.0,1287,3,6,3,2,1666,0.343,0.636,0
1,1,0,5,0,1,0,1,0,0,46,0.0,2442.0,701,4,3,3,3,0,0.98,0.727,1
1,1,0,4,0,2,0,1,0,0,47,0.072,19772.0,1770,3,4,1,2,1532,1.018,0.923,0
